id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,user_rt_id,near,geo
1149838508187500544,1149838022931673088,1562977837000,2019-07-13,08:30:37,CST,69347129,alexshibutani,Alex Shibutani,,"Now I’m going to explain why @MaiaShibutani and I are doing this.   1. While we haven’t seen the movie yet, we’ve heard and read amazing things about it from some very funny people whose opinions we respect. #Stuber  pic.twitter.com/6CzAJv0ARN",['maiashibutani'],[],"['https://pbs.twimg.com/media/D_UMByjUcAAjsuX.jpg', 'https://pbs.twimg.com/media/D_UMBylUYAATQPT.jpg', 'https://pbs.twimg.com/media/D_UMBykUEAA7fU6.jpg']",1,6,19,['#stuber'],[],https://twitter.com/AlexShibutani/status/1149838508187500544,,,0,,,
1149838402017255425,1149838402017255425,1562977812000,2019-07-13,08:30:12,CST,14604658,georgiastraight,The Georgia Straight,,Movie review: Crawl makes gators scarier than sharks  http://ow.ly/zh6I30p7hZc  #Crawl #alligators #disaster #horror Starring Kaya Scodelario and Barry Pepper pic.twitter.com/RqiZHvh43X,[],['http://ow.ly/zh6I30p7hZc'],['https://pbs.twimg.com/media/D_UL7ukWsAA9fXT.jpg'],0,0,2,"['#crawl', '#alligators', '#disaster', '#horror']",[],https://twitter.com/georgiastraight/status/1149838402017255425,,,0,,,
1149838222643646464,1149755306596921344,1562977769000,2019-07-13,08:29:29,CST,1090655832386228224,joyeuxcal,J.C.,,Thank you for the opportunity! #Stuber,['marcus_theatres'],[],[],0,0,0,['#stuber'],[],https://twitter.com/joyeuxcal/status/1149838222643646464,,,0,,,
1149838114271223810,1149838114271223810,1562977744000,2019-07-13,08:29:04,CST,986757141133316101,stubermovie,STUBER,,#Stuber has arrived! Celebrate the big day with this five-star set of tunes to get you HYPE:  https://open.spotify.com/playlist/5WtAJv92Bonok1i8t3jlYw …,[],['https://open.spotify.com/playlist/5WtAJv92Bonok1i8t3jlYw'],[],2,5,12,['#stuber'],[],https://twitter.com/STUBERmovie/status/1149838114271223810,,,0,,,
1149837863724433408,1149837863724433408,1562977684000,2019-07-13,08:28:04,CST,165205258,jyronwilliamson,Design,,@STUBERmovie #Stuber,['stubermovie'],[],[],0,0,0,['#stuber'],[],https://twitter.com/JyronWilliamson/status/1149837863724433408,,,0,,,
1149837658362974208,1149837658362974208,1562977635000,2019-07-13,08:27:15,CST,425732815,pharaoh_tv,Paul - PharaohTV,,#Stuber was so much fun. Just be prepared for a BBC HAHAHAHAHA   #Cineplex #davebautista #kumailnanjiani @ Cineplex Cinemas Saint John  https://www.instagram.com/p/Bz1jfWilufi/?igshid=tepiat1gtnay …,[],['https://www.instagram.com/p/Bz1jfWilufi/?igshid=tepiat1gtnay'],[],0,0,0,"['#stuber', '#cineplex', '#davebautista', '#kumailnanjiani']",[],https://twitter.com/Pharaoh_tv/status/1149837658362974208,,,0,,,
1149837571939328000,1149837571939328000,1562977614000,2019-07-13,08:26:54,CST,61169278,batista_fan_1,Ramisa Fariha (Fari),Showcase Providence Place & IMAX,"People,go & watch ""Stuber"" starring @DaveBautista @kumailn coming to theaters today!The greatest on-screen chemistry,hilarious yet so profound,& simply a great time!5 Stars from Fari⭐❤ Providence: Don't forget your student discount! @STUBERmovie #Stuber #summerfun pic.twitter.com/gyQRUgbTMQ – w: Showcase Providence Place & IMAX","['davebautista', 'kumailn', 'stubermovie']",[],['https://pbs.twimg.com/media/D_ULLEpX4AI8yh8.jpg'],0,1,1,"['#stuber', '#summerfun']",[],https://twitter.com/batista_fan_1/status/1149837571939328000,,,0,,,
1149837282083520513,1149837282083520513,1562977545000,2019-07-13,08:25:45,CST,327678033,shakendraa_,KenMinaj💕,Amc Dothan 6,Finna see what #crawl about ☺️👌🏽 – w: Amc Dothan 6,[],[],[],0,0,1,['#crawl'],[],https://twitter.com/Shakendraa_/status/1149837282083520513,,,0,,,
1149835996806012928,1149835996806012928,1562977239000,2019-07-13,08:20:39,CST,228640541,overlordofg4,Clifford Kiyabu,,Next up is #Crawl ! #ShowYourTicket @ Consolidated Theaters Koko Marina 8  https://www.instagram.com/p/Bz1iu6dl6rsK24O_NjUdcihq_YXdNawmUaKiMg0/?igshid=154x33kk1u89k …,[],['https://www.instagram.com/p/Bz1iu6dl6rsK24O_NjUdcihq_YXdNawmUaKiMg0/?igshid=154x33kk1u89k'],[],0,0,0,"['#crawl', '#showyourticket']",[],https://twitter.com/OverlordofG4/status/1149835996806012928,,,0,,,
1149835402804641799,1149835402804641799,1562977097000,2019-07-13,08:18:17,CST,408388561,lasondradperry,lasondraelizekePerry,,@BarryPepper @kScodders @TheCrawlMovie Just saw crawl good movie action packed from start to finish definitely seeing it again 👏👏👏 #crawl  pic.twitter.com/Csftsk1CHH,"['barrypepper', 'kscodders', 'thecrawlmovie']",[],[],0,0,2,['#crawl'],[],https://twitter.com/lasondradperry/status/1149835402804641799,,,1,,,
1149835275276816384,1149835275276816384,1562977067000,2019-07-13,08:17:47,CST,119135574,majedy,MAJED,,هذا الفلم فاق توقعاتي، أكشن و ضحك، أنصح بحضوره والإستمتاع بالوقت.  تفاعل الحضور في كثير من الأحيان يخلق تجربة أكثر من رائعة.  #Stuber  pic.twitter.com/rZRHi4rXBt,[],[],['https://pbs.twimg.com/media/D_UIg3DWsAAYy6E.jpg'],1,1,0,['#stuber'],[],https://twitter.com/MAJEDy/status/1149835275276816384,,,0,,,
1149834491030097931,1149834491030097931,1562976880000,2019-07-13,08:14:40,CST,1083088062048071680,ellissinema,Ellissinema Podcast,,"*Surprise hit of the summer. Aja is at the top of his game* #episode 152 - @TheCrawlMovie #Review - @kScodders @BarryPepper @AlexandreAja @MaxAruj @steffen_thum #andsomanymore #crawl #podcast #moviereview Listen here, @Spotify and  http://www.ellissinema.com  https://www.spreaker.com/user/ezellisd/crawl-review …","['thecrawlmovie', 'kscodders', 'barrypepper', 'alexandreaja', 'maxaruj', 'steffen_thum', 'spotify']","['http://www.ellissinema.com', 'https://www.spreaker.com/user/ezellisd/crawl-review']",[],0,1,1,"['#episode', '#review', '#andsomanymore', '#crawl', '#podcast', '#moviereview']",[],https://twitter.com/ellissinema/status/1149834491030097931,,,0,,,
1149833702744252416,1149673079221575682,1562976692000,2019-07-13,08:11:32,CST,17373442,ashantiomkar,Ashanti Omkar 🎬🎶🌶,,"Yessss, I remembered this when watching #stuber earlier today. Also this @Uber reference from @kumailn 🏎️ pic.twitter.com/XQS9SJsaNp","['nancywyuen', 'uber', 'kumailn']",[],[],0,0,1,['#stuber'],[],https://twitter.com/AshantiOmkar/status/1149833702744252416,,,1,,,
1149833398057340928,1149833398057340928,1562976619000,2019-07-13,08:10:19,CST,210642269,inconformerd,Plinio Polanco,,Película estreno de la semana: @STUBERmovie es una comedia de acción protagonizada por @DaveBautista y @kumailn de como un policía belicoso de Los Ángeles le cambia la vida a un conductor de Uber. #Stuber  http://www.cineplusrd.com/Plinio-Polanco/stuber/ …,"['stubermovie', 'davebautista', 'kumailn']",['http://www.cineplusrd.com/Plinio-Polanco/stuber/'],[],0,0,0,['#stuber'],[],https://twitter.com/InconformeRD/status/1149833398057340928,,,0,,,
1149833236517810176,1149808626179047424,1562976581000,2019-07-13,08:09:41,CST,1601489546,calinative_88,Native Nerd,,"Going to the movies to see #Stuber and anywhere else that’s cool. Bracing for the heat wave that’s about to hit San Diego. Don’t worry, the Comic Con Gods are merciful. It’s going to start cooling off Wednesday.  pic.twitter.com/viUlFUoyjQ",['getfandom'],[],[],0,0,0,['#stuber'],[],https://twitter.com/calinative_88/status/1149833236517810176,,,1,,,
1149832923979366400,1149832923979366400,1562976506000,2019-07-13,08:08:26,CST,750680755072671745,infinity_cloak,Matthew Hermosillo,,About to watch #Stuber looking forward to it!  pic.twitter.com/TDlAZYBoB6,[],[],[],0,0,0,['#stuber'],[],https://twitter.com/Infinity_Cloak/status/1149832923979366400,,,1,,,
