user,rojo,crawl,stuber,thefarewell,bethanyhamiton
prattprattpratt,0,0,0,0,0
pupbroofdog,0,0,0,0,0
puscas_lucian87,0,0,0,0,0
quillivys,0,0,0,0,0
rachel_reviews,0,0,0,1,0
rachelmooney19,0,0,0,0,0
raehanbobby,0,0,0,0,0
rafiright,0,0,0,0,0
ranchdressingg2,0,0,0,0,0
randommnky,0,0,1,0,0
realbethgibbons,0,0,0,0,0
red_chelse,0,0,0,0,0
redlobster,0,0,0,0,0
reinoe,0,0,0,0,0
rendy_jones,0,0,1,5,0
sus1eaf,0,0,0,0,0
susanorlean,0,0,0,0,0
tacobell,0,0,0,0,0
tayarisha,0,0,0,0,0
taylorswift13,0,0,0,0,0
taypearlstein,0,0,0,0,0
teacakeandmake,0,0,0,0,0
tedharringtonjr,0,0,0,0,0
telix5000,0,0,0,0,0
tengounplan_cl,0,0,0,0,0
thameeralamma,0,0,0,0,0
theDALTONcastle,0,0,0,0,0
thechipwillis,0,0,0,0,0
thehighsign,0,0,0,0,0
thehills,0,0,0,0,0
themaxhalloween,0,0,0,0,0
themccpodcast,0,0,0,0,0
themusiczoo,0,0,0,0,0
thenerdsofcolor,0,0,8,3,0
therealjoebob,0,0,0,0,0
therealrapiton,0,0,1,0,0
theresaroemer,0,0,0,0,0
thescribes_,0,0,0,0,0
toddd_foolery,0,0,0,0,0
tomandjerr_,0,0,0,0,0
tongueinsideme,0,0,0,0,0
torresvcalcio,0,0,0,0,0
trailered_,0,0,0,0,0
truth_077,0,0,0,0,0
tunein,0,0,0,0,0
tycecarlson,0,0,0,0,0
ulcmonastery,0,0,0,0,0
unitonecollects,0,0,0,0,0
uzmanmemo,0,0,0,0,0
valenti05042624,0,0,0,0,0
vanitasbazar,0,0,0,0,0
verge,0,0,0,0,0
wesleyroth,0,0,0,0,0
wgtc_site,0,3,0,0,0
whatifventures,0,0,0,0,0
whitaker_marva,0,0,0,0,0
wifilmfest,0,0,0,0,0
woahtato,0,0,0,0,0
wolfeatworld,0,0,0,0,0
woodstockfest,0,0,0,0,0
writeboy,0,0,0,0,0
xeviuss,0,0,0,0,0
yesterdaymovie,0,0,0,0,0
yifei_cc,0,0,0,0,0
youthpallet,0,0,0,0,0
yoyabresky,0,0,0,0,0
zabdiel1344,0,0,0,0,0
zachdcampbell,0,0,0,0,0
zachforzombies,0,0,0,0,0
zuliluis_mx,1,0,0,0,0
zzcat88,0,0,0,0,0
